Month,Year,Country,HS,Commodity,Customs Value (Gen) ($US),
January,2024,Afghanistan,39,Plastics And Articles Thereof,"8,500",
January,2024,Afghanistan,48,Paper & Paperboard & Articles (inc Papr Pulp Artl),"17,552",
January,2024,Afghanistan,73,Articles Of Iron Or Steel,"39,388",
January,2024,Afghanistan,83,Miscellaneous Articles Of Base Metal,"12,076",
January,2024,Afghanistan,85,Electric Machinery Etc; Sound Equip; Tv Equip; Pts,"13,479",
January,2024,Albania,39,Plastics And Articles Thereof,"185,909",
January,2024,Albania,48,Paper & Paperboard & Articles (inc Papr Pulp Artl),"181,026",
January,2024,Albania,61,"Apparel Articles And Accessories, Knit Or Crochet","498,894",
January,2024,Albania,64,"Footwear, Gaiters Etc. And Parts Thereof","204,979",
January,2024,Albania,70,Glass And Glassware,"3,761",
January,2024,Albania,73,Articles Of Iron Or Steel,"34,788",
January,2024,Albania,76,Aluminum And Articles Thereof,"259,899",
January,2024,Albania,83,Miscellaneous Articles Of Base Metal,"7,901",
January,2024,Albania,84,"Nuclear Reactors, Boilers, Machinery Etc.; Parts","34,171",
January,2024,Albania,85,Electric Machinery Etc; Sound Equip; Tv Equip; Pts,"195,521",
January,2024,Albania,87,"Vehicles, Except Railway Or Tramway, And Parts Etc","76,320",
January,2024,Albania,94,"Furnit;bedding,mattres;luminaires,light Fix;prefab","150,856",
January,2024,Algeria,49,"Printed Books, Newspapers Etc; Manuscripts Etc","48,839",
January,2024,Algeria,83,Miscellaneous Articles Of Base Metal,"3,660",
January,2024,Algeria,84,"Nuclear Reactors, Boilers, Machinery Etc.; Parts","2,194",
January,2024,Algeria,94,"Furnit;bedding,mattres;luminaires,light Fix;prefab","2,149",
January,2024,Andorra,39,Plastics And Articles Thereof,"1,176",
January,2024,Andorra,83,Miscellaneous Articles Of Base Metal,"3,976",
January,2024,Andorra,84,"Nuclear Reactors, Boilers, Machinery Etc.; Parts","17,086",
January,2024,Andorra,85,Electric Machinery Etc; Sound Equip; Tv Equip; Pts,"2,500",
January,2024,Andorra,87,"Vehicles, Except Railway Or Tramway, And Parts Etc","4,225",
January,2024,Angola,73,Articles Of Iron Or Steel,"286,591",
January,2024,Anguilla,39,Plastics And Articles Thereof,"67,284",
January,2024,Antigua and Barbuda,76,Aluminum And Articles Thereof,"8,138",
January,2024,Argentina,33,"Essential Oils Etc; Perfumery, Cosmetic Etc Preps","7,590,789",
January,2024,Argentina,34,"Soap Etc; Waxes, Polish Etc; Candles; Dental Preps","16,766",
January,2024,Argentina,39,Plastics And Articles Thereof,"1,080,824",
January,2024,Argentina,48,Paper & Paperboard & Articles (inc Papr Pulp Artl),"1,019,522",
January,2024,Argentina,49,"Printed Books, Newspapers Etc; Manuscripts Etc","25,301",
January,2024,Argentina,61,"Apparel Articles And Accessories, Knit Or Crochet","24,435",
January,2024,Argentina,63,Textile Art Nesoi; Needlecraft Sets; Worn Text Art,"4,250",
January,2024,Argentina,64,"Footwear, Gaiters Etc. And Parts Thereof","44,193",
January,2024,Argentina,70,Glass And Glassware,"64,632",
January,2024,Argentina,73,Articles Of Iron Or Steel,"4,009,597",
January,2024,Argentina,76,Aluminum And Articles Thereof,"29,314,379",
January,2024,Argentina,82,"Tools, Cutlery Etc. Of Base Metal & Parts Thereof","202,859",
January,2024,Argentina,83,Miscellaneous Articles Of Base Metal,"194,603",
January,2024,Argentina,84,"Nuclear Reactors, Boilers, Machinery Etc.; Parts","9,067,333",
January,2024,Argentina,85,Electric Machinery Etc; Sound Equip; Tv Equip; Pts,"2,004,663",
January,2024,Argentina,87,"Vehicles, Except Railway Or Tramway, And Parts Etc","507,515",
January,2024,Argentina,94,"Furnit;bedding,mattres;luminaires,light Fix;prefab","240,789",
January,2024,Argentina,95,"Toys, Games & Sport Equipment; Parts & Accessories","90,980",
January,2024,Armenia,48,Paper & Paperboard & Articles (inc Papr Pulp Artl),"48,568",
January,2024,Armenia,61,"Apparel Articles And Accessories, Knit Or Crochet","18,845",
January,2024,Armenia,63,Textile Art Nesoi; Needlecraft Sets; Worn Text Art,"7,043",
January,2024,Armenia,64,"Footwear, Gaiters Etc. And Parts Thereof",366,
January,2024,Armenia,84,"Nuclear Reactors, Boilers, Machinery Etc.; Parts","75,997",
January,2024,Armenia,85,Electric Machinery Etc; Sound Equip; Tv Equip; Pts,"8,056",
January,2024,Armenia,94,"Furnit;bedding,mattres;luminaires,light Fix;prefab","3,200",
January,2024,Armenia,95,"Toys, Games & Sport Equipment; Parts & Accessories","14,267",
January,2024,Aruba,33,"Essential Oils Etc; Perfumery, Cosmetic Etc Preps","101,830",
January,2024,Aruba,34,"Soap Etc; Waxes, Polish Etc; Candles; Dental Preps","36,616",
January,2024,Aruba,70,Glass And Glassware,"10,000",
January,2024,Aruba,84,"Nuclear Reactors, Boilers, Machinery Etc.; Parts","3,600",
January,2024,Australia,33,"Essential Oils Etc; Perfumery, Cosmetic Etc Preps","6,445,950",
January,2024,Australia,34,"Soap Etc; Waxes, Polish Etc; Candles; Dental Preps","1,057,531",
January,2024,Australia,39,Plastics And Articles Thereof,"5,575,932",
January,2024,Australia,48,Paper & Paperboard & Articles (inc Papr Pulp Artl),"4,345,534",
January,2024,Australia,49,"Printed Books, Newspapers Etc; Manuscripts Etc","1,498,304",
January,2024,Australia,61,"Apparel Articles And Accessories, Knit Or Crochet","556,971",
January,2024,Australia,63,Textile Art Nesoi; Needlecraft Sets; Worn Text Art,"499,257",
January,2024,Australia,64,"Footwear, Gaiters Etc. And Parts Thereof","537,829",
January,2024,Australia,70,Glass And Glassware,"796,139",
January,2024,Australia,73,Articles Of Iron Or Steel,"5,989,248",
January,2024,Australia,76,Aluminum And Articles Thereof,"16,951,336",
January,2024,Australia,82,"Tools, Cutlery Etc. Of Base Metal & Parts Thereof","962,014",
January,2024,Australia,83,Miscellaneous Articles Of Base Metal,"1,707,578",
January,2024,Australia,84,"Nuclear Reactors, Boilers, Machinery Etc.; Parts","46,456,166",
January,2024,Australia,85,Electric Machinery Etc; Sound Equip; Tv Equip; Pts,"40,569,827",
January,2024,Australia,87,"Vehicles, Except Railway Or Tramway, And Parts Etc","9,491,120",
January,2024,Australia,94,"Furnit;bedding,mattres;luminaires,light Fix;prefab","3,099,957",
January,2024,Australia,95,"Toys, Games & Sport Equipment; Parts & Accessories","3,384,472",
January,2024,Austria,33,"Essential Oils Etc; Perfumery, Cosmetic Etc Preps","1,987,155",
January,2024,Austria,34,"Soap Etc; Waxes, Polish Etc; Candles; Dental Preps","1,060,410",
January,2024,Austria,39,Plastics And Articles Thereof,"26,653,027",
January,2024,Austria,48,Paper & Paperboard & Articles (inc Papr Pulp Artl),"6,700,967",
January,2024,Austria,49,"Printed Books, Newspapers Etc; Manuscripts Etc","781,516",
January,2024,Austria,61,"Apparel Articles And Accessories, Knit Or Crochet","405,741",
January,2024,Austria,63,Textile Art Nesoi; Needlecraft Sets; Worn Text Art,"133,466",
January,2024,Austria,64,"Footwear, Gaiters Etc. And Parts Thereof","817,572",
January,2024,Austria,70,Glass And Glassware,"4,341,303",
January,2024,Austria,73,Articles Of Iron Or Steel,"64,597,455",
January,2024,Austria,76,Aluminum And Articles Thereof,"13,303,882",
January,2024,Austria,82,"Tools, Cutlery Etc. Of Base Metal & Parts Thereof","8,074,978",
January,2024,Austria,83,Miscellaneous Articles Of Base Metal,"12,129,791",
January,2024,Austria,84,"Nuclear Reactors, Boilers, Machinery Etc.; Parts","382,343,450",
January,2024,Austria,85,Electric Machinery Etc; Sound Equip; Tv Equip; Pts,"127,898,329",
January,2024,Austria,87,"Vehicles, Except Railway Or Tramway, And Parts Etc","204,097,962",
January,2024,Austria,94,"Furnit;bedding,mattres;luminaires,light Fix;prefab","4,640,097",
January,2024,Austria,95,"Toys, Games & Sport Equipment; Parts & Accessories","4,436,816",
January,2024,Azerbaijan,39,Plastics And Articles Thereof,"14,133",
January,2024,Azerbaijan,70,Glass And Glassware,"77,010",
January,2024,Azerbaijan,73,Articles Of Iron Or Steel,"9,680",
January,2024,Azerbaijan,76,Aluminum And Articles Thereof,"8,355,414",
January,2024,Azerbaijan,84,"Nuclear Reactors, Boilers, Machinery Etc.; Parts","800,397",
January,2024,Azerbaijan,85,Electric Machinery Etc; Sound Equip; Tv Equip; Pts,"4,500",
January,2024,Azerbaijan,94,"Furnit;bedding,mattres;luminaires,light Fix;prefab","29,418",
January,2024,Bahamas,39,Plastics And Articles Thereof,"2,699,713",
January,2024,Bahamas,61,"Apparel Articles And Accessories, Knit Or Crochet",450,
January,2024,Bahamas,64,"Footwear, Gaiters Etc. And Parts Thereof","2,200",
January,2024,Bahamas,76,Aluminum And Articles Thereof,"28,569",
January,2024,Bahamas,84,"Nuclear Reactors, Boilers, Machinery Etc.; Parts","78,354",
January,2024,Bahamas,85,Electric Machinery Etc; Sound Equip; Tv Equip; Pts,"141,264",
January,2024,Bahamas,94,"Furnit;bedding,mattres;luminaires,light Fix;prefab","3,358",
January,2024,Bahamas,95,"Toys, Games & Sport Equipment; Parts & Accessories","717,500",
January,2024,Bahrain,39,Plastics And Articles Thereof,"2,527,903",
January,2024,Bahrain,48,Paper & Paperboard & Articles (inc Papr Pulp Artl),"57,467",
January,2024,Bahrain,63,Textile Art Nesoi; Needlecraft Sets; Worn Text Art,"2,191,065",
January,2024,Bahrain,70,Glass And Glassware,"864,230",
January,2024,Bahrain,73,Articles Of Iron Or Steel,"7,380",
January,2024,Bahrain,76,Aluminum And Articles Thereof,"40,764,366",
January,2024,Bahrain,84,"Nuclear Reactors, Boilers, Machinery Etc.; Parts","940,164",
January,2024,Bahrain,85,Electric Machinery Etc; Sound Equip; Tv Equip; Pts,"5,000",
January,2024,Bahrain,87,"Vehicles, Except Railway Or Tramway, And Parts Etc","33,000",
January,2024,Bahrain,94,"Furnit;bedding,mattres;luminaires,light Fix;prefab","17,030",
January,2024,Bahrain,95,"Toys, Games & Sport Equipment; Parts & Accessories","3,790",
January,2024,Bangladesh,33,"Essential Oils Etc; Perfumery, Cosmetic Etc Preps","47,621",
January,2024,Bangladesh,34,"Soap Etc; Waxes, Polish Etc; Candles; Dental Preps","13,889",
January,2024,Bangladesh,39,Plastics And Articles Thereof,"1,712,480",
January,2024,Bangladesh,48,Paper & Paperboard & Articles (inc Papr Pulp Artl),"306,020",
January,2024,Bangladesh,49,"Printed Books, Newspapers Etc; Manuscripts Etc","13,491",
January,2024,Bangladesh,61,"Apparel Articles And Accessories, Knit Or Crochet","163,372,195",
January,2024,Bangladesh,63,Textile Art Nesoi; Needlecraft Sets; Worn Text Art,"11,629,613",
January,2024,Bangladesh,64,"Footwear, Gaiters Etc. And Parts Thereof","14,209,005",
January,2024,Bangladesh,70,Glass And Glassware,"185,200",
January,2024,Bangladesh,73,Articles Of Iron Or Steel,"328,458",
January,2024,Bangladesh,76,Aluminum And Articles Thereof,"29,045",
January,2024,Bangladesh,82,"Tools, Cutlery Etc. Of Base Metal & Parts Thereof","9,975",
January,2024,Bangladesh,83,Miscellaneous Articles Of Base Metal,"15,096",
January,2024,Bangladesh,84,"Nuclear Reactors, Boilers, Machinery Etc.; Parts","292,800",
January,2024,Bangladesh,85,Electric Machinery Etc; Sound Equip; Tv Equip; Pts,"285,625",
January,2024,Bangladesh,87,"Vehicles, Except Railway Or Tramway, And Parts Etc","43,857",
January,2024,Bangladesh,94,"Furnit;bedding,mattres;luminaires,light Fix;prefab","976,420",
January,2024,Bangladesh,95,"Toys, Games & Sport Equipment; Parts & Accessories","1,283,246",
January,2024,Barbados,48,Paper & Paperboard & Articles (inc Papr Pulp Artl),"10,201",
January,2024,Barbados,63,Textile Art Nesoi; Needlecraft Sets; Worn Text Art,"35,571",
January,2024,Barbados,76,Aluminum And Articles Thereof,"48,807",
January,2024,Barbados,84,"Nuclear Reactors, Boilers, Machinery Etc.; Parts","11,119",
January,2024,Barbados,85,Electric Machinery Etc; Sound Equip; Tv Equip; Pts,"10,509",
January,2024,Belarus,39,Plastics And Articles Thereof,"49,125",
January,2024,Belarus,61,"Apparel Articles And Accessories, Knit Or Crochet","29,750",
January,2024,Belarus,63,Textile Art Nesoi; Needlecraft Sets; Worn Text Art,"3,418",
January,2024,Belarus,76,Aluminum And Articles Thereof,"25,014",
January,2024,Belarus,82,"Tools, Cutlery Etc. Of Base Metal & Parts Thereof","397,265",
January,2024,Belarus,84,"Nuclear Reactors, Boilers, Machinery Etc.; Parts","90,286",
January,2024,Belarus,85,Electric Machinery Etc; Sound Equip; Tv Equip; Pts,"62,362",
