HS2,HS2 Description,Country of Origin,Rank,Port of Entry,BaselineShare,BaselineSharePct
33,Personal care and cleaning,Argentina,1,"Tampa, FL",0.7805852952454453,78.05852952454453
33,Personal care and cleaning,Argentina,2,"New York City, NY",0.14862768459035697,14.862768459035697
33,Personal care and cleaning,Argentina,3,"Miami, FL",0.027529417103151894,2.752941710315189
33,Personal care and cleaning,Argentina,4,"Baltimore, MD",0.015473557488572964,1.5473557488572964
33,Personal care and cleaning,Argentina,5,"Los Angeles, CA",0.010073893718545161,1.0073893718545162
33,Personal care and cleaning,Argentina,6,"Savannah, GA",0.00840673480973057,0.8406734809730569
33,Personal care and cleaning,Argentina,7,"Detroit, MI",0.003334508921367474,0.3334508921367474
33,Personal care and cleaning,Argentina,8,"Houston-Galveston, TX",0.003153893195427074,0.3153893195427074
33,Personal care and cleaning,Argentina,9,"Laredo, TX",0.0015505316779972174,0.15505316779972173
33,Personal care and cleaning,Argentina,10,"Philadelphia, PA",0.001264483249405378,0.1264483249405378
33,Personal care and cleaning,Brazil,1,"Tampa, FL",0.6451651685450891,64.51651685450891
33,Personal care and cleaning,Brazil,2,"New York City, NY",0.14397311070981517,14.397311070981516
33,Personal care and cleaning,Brazil,3,"Miami, FL",0.13260015555496307,13.260015555496308
33,Personal care and cleaning,Brazil,4,"Houston-Galveston, TX",0.026146640810252374,2.6146640810252375
33,Personal care and cleaning,Brazil,5,"Wilmington, NC",0.011879773098721116,1.1879773098721116
33,Personal care and cleaning,Brazil,6,"Great Falls, MT",0.009683088483637196,0.9683088483637196
33,Personal care and cleaning,Brazil,7,"Savannah, GA",0.00879222256961751,0.879222256961751
33,Personal care and cleaning,Brazil,8,"Cleveland, OH",0.007783483374840827,0.7783483374840827
33,Personal care and cleaning,Brazil,9,"Charleston, SC",0.0070161346487115205,0.7016134648711521
33,Personal care and cleaning,Brazil,10,"New Orleans, LA",0.006960222204352013,0.6960222204352013
33,Personal care and cleaning,Canada,1,"Buffalo, NY",0.4019471284613628,40.194712846136284
33,Personal care and cleaning,Canada,2,"Detroit, MI",0.3593569996002862,35.93569996002862
33,Personal care and cleaning,Canada,3,"Ogdensburg, NY",0.17112567633482131,17.112567633482133
33,Personal care and cleaning,Canada,4,"Seattle, WA",0.040583434843792225,4.058343484379223
33,Personal care and cleaning,Canada,5,"Great Falls, MT",0.0072964700846608384,0.7296470084660839
