HS4,HS4 Description,Rank,Country of Origin,BaselineShare,BaselineSharePct,Old Tariff,Old TariffPct
3301,Essent Oils Resinoid; Ext Oleo Terpen By-prods Etc,1,India,0.21867843753827723,21.867843753827724,0.1492102869932496,14.921028699324959
3301,Essent Oils Resinoid; Ext Oleo Terpen By-prods Etc,2,Brazil,0.16838475182122614,16.838475182122615,0.0711561147587682,7.115611475876819
3301,Essent Oils Resinoid; Ext Oleo Terpen By-prods Etc,3,Mexico,0.13975137982236294,13.975137982236294,0.0036812896059639,0.36812896059639
3301,Essent Oils Resinoid; Ext Oleo Terpen By-prods Etc,4,France,0.09311979390773586,9.311979390773587,0.0736681119287357,7.36681119287357
3301,Essent Oils Resinoid; Ext Oleo Terpen By-prods Etc,5,Argentina,0.0882153946688124,8.821539466881239,0.101463075099877,10.1463075099877
3301,Essent Oils Resinoid; Ext Oleo Terpen By-prods Etc,6,China,0.0762044559815296,7.62044559815296,0.277207613489774,27.7207613489774
3301,Essent Oils Resinoid; Ext Oleo Terpen By-prods Etc,7,Italy,0.06484688829305764,6.484688829305764,0.092221591093628,9.2221591093628
3301,Essent Oils Resinoid; Ext Oleo Terpen By-prods Etc,8,Indonesia,0.05729144601163878,5.7291446011638785,0.0853867543962219,8.538675439622189
3301,Essent Oils Resinoid; Ext Oleo Terpen By-prods Etc,9,Canada,0.04737249105139742,4.737249105139742,0.0098853050541427,0.9885305054142699
3301,Essent Oils Resinoid; Ext Oleo Terpen By-prods Etc,10,Germany,0.046134960903962026,4.613496090396203,0.0819332545562375,8.19332545562375
3302,Odoriferous Mixture; Raw Mat'l For Indus & Bev Mfg,1,Ireland,0.8507902814555299,85.079028145553,0.0495003000486095,4.950030004860951
3302,Odoriferous Mixture; Raw Mat'l For Indus & Bev Mfg,2,India,0.027781371675741316,2.7781371675741315,0.0553028299456184,5.53028299456184
3302,Odoriferous Mixture; Raw Mat'l For Indus & Bev Mfg,3,Switzerland,0.02473989990200106,2.473989990200106,0.0608783468090432,6.0878346809043205
3302,Odoriferous Mixture; Raw Mat'l For Indus & Bev Mfg,4,France,0.021003294896830012,2.100329489683001,0.0781871855165565,7.81871855165565
3302,Odoriferous Mixture; Raw Mat'l For Indus & Bev Mfg,5,Germany,0.01872291650177118,1.8722916501771178,0.0816012432845437,8.16012432845437
3302,Odoriferous Mixture; Raw Mat'l For Indus & Bev Mfg,6,Canada,0.017124599288488595,1.7124599288488596,0.017714715812422,1.7714715812422
3302,Odoriferous Mixture; Raw Mat'l For Indus & Bev Mfg,7,Spain,0.011976486362876678,1.1976486362876677,0.0629273708176501,6.29273708176501
3302,Odoriferous Mixture; Raw Mat'l For Indus & Bev Mfg,8,United Kingdom,0.010980687975695848,1.0980687975695849,0.0587162462357731,5.87162462357731
3302,Odoriferous Mixture; Raw Mat'l For Indus & Bev Mfg,9,Mexico,0.009754926117333263,0.9754926117333264,0.0219049712151177,2.19049712151177
3302,Odoriferous Mixture; Raw Mat'l For Indus & Bev Mfg,10,Uruguay,0.007125535823732175,0.7125535823732175,0.0780696737824404,7.80696737824404
3303,Perfumes And Toilet Waters,1,France,0.5564321709844269,55.64321709844269,0.0730463499829181,7.30463499829181
3303,Perfumes And Toilet Waters,2,Spain,0.13705842350904135,13.705842350904135,0.0720984056689786,7.20984056689786
3303,Perfumes And Toilet Waters,3,Italy,0.12889256595688134,12.889256595688133,0.0821604527650205,8.21604527650205
3303,Perfumes And Toilet Waters,4,United Arab Emirates,0.09001698709361969,9.00169870936197,0.0723676969890592,7.2367696989059205
3303,Perfumes And Toilet Waters,5,United Kingdom,0.02236526393607228,2.2365263936072277,0.0649837618544349,6.49837618544349
3303,Perfumes And Toilet Waters,6,Switzerland,0.019888569007639256,1.9888569007639256,0.1034297486723309,10.34297486723309
3303,Perfumes And Toilet Waters,7,Mexico,0.017705666273680223,1.7705666273680223,0.00838118444518,0.838118444518
3303,Perfumes And Toilet Waters,8,Germany,0.01061912791850746,1.061912791850746,0.0538428963715884,5.38428963715884
3303,Perfumes And Toilet Waters,9,India,0.008565701117092794,0.8565701117092794,0.1666649215583184,16.66649215583184
3303,Perfumes And Toilet Waters,10,China,0.00845552420303871,0.845552420303871,0.4652379536724146,46.52379536724146
3304,"Beauty, Make-up & Skin-care Prep; Manicure Etc Prp",1,"Korea, South",0.22346449985707817,22.346449985707817,0.0777473898644556,7.77473898644556
3304,"Beauty, Make-up & Skin-care Prep; Manicure Etc Prp",2,France,0.18666075248997657,18.666075248997657,0.0788867063072307,7.88867063072307
3304,"Beauty, Make-up & Skin-care Prep; Manicure Etc Prp",3,Canada,0.16797148523319724,16.797148523319724,0.0119217140407762,1.19217140407762
3304,"Beauty, Make-up & Skin-care Prep; Manicure Etc Prp",4,Italy,0.1338730222304435,13.387302223044351,0.0833741531972819,8.33741531972819
3304,"Beauty, Make-up & Skin-care Prep; Manicure Etc Prp",5,China,0.1045530614618268,10.45530614618268,0.4828774572925171,48.28774572925171
3304,"Beauty, Make-up & Skin-care Prep; Manicure Etc Prp",6,Mexico,0.04363280488355134,4.363280488355134,0.0029786227884721,0.29786227884721
3304,"Beauty, Make-up & Skin-care Prep; Manicure Etc Prp",7,United Kingdom,0.04242306780006682,4.242306780006682,0.0676433182995533,6.7643318299553306
3304,"Beauty, Make-up & Skin-care Prep; Manicure Etc Prp",8,Germany,0.035136394617935184,3.5136394617935185,0.0892989612950888,8.92989612950888
3304,"Beauty, Make-up & Skin-care Prep; Manicure Etc Prp",9,Japan,0.03283654361051002,3.283654361051002,0.084674826150916,8.4674826150916
3304,"Beauty, Make-up & Skin-care Prep; Manicure Etc Prp",10,Sweden,0.02944836781541428,2.944836781541428,0.0465370701501249,4.65370701501249
3305,Preparations For Use On The Hair,1,Canada,0.28606513697417313,28.606513697417313,0.0097862733319711,0.9786273331971099
3305,Preparations For Use On The Hair,2,Mexico,0.2697806750794431,26.97806750794431,0.0113436702995769,1.13436702995769
3305,Preparations For Use On The Hair,3,Italy,0.12697005636915049,12.697005636915048,0.0814018882749907,8.14018882749907
3305,Preparations For Use On The Hair,4,Israel,0.0630154361247529,6.30154361247529,0.0810973071307741,8.10973071307741
3305,Preparations For Use On The Hair,5,China,0.06183178870110402,6.183178870110402,0.4528826129085643,45.28826129085643
3305,Preparations For Use On The Hair,6,Spain,0.047108826331188174,4.710882633118818,0.095554282431228,9.555428243122801
3305,Preparations For Use On The Hair,7,"Korea, South",0.04666162364170336,4.6661623641703365,0.0719506759228449,7.195067592284491
3305,Preparations For Use On The Hair,8,Germany,0.038724600115107276,3.8724600115107277,0.0868550059494541,8.68550059494541
3305,Preparations For Use On The Hair,9,United Kingdom,0.03173734284269435,3.1737342842694347,0.0711381741096296,7.11381741096296
3305,Preparations For Use On The Hair,10,Greece,0.028104513820683266,2.8104513820683263,0.0987878314807617,9.87878314807617
3306,"Preparations, Oral Dental Hygiene; Dental Floss",1,Mexico,0.41037564283067196,41.0375642830672,0.0006523688825089,0.06523688825089
3306,"Preparations, Oral Dental Hygiene; Dental Floss",2,China,0.20806853853829604,20.806853853829605,0.3031994114699797,30.31994114699797
3306,"Preparations, Oral Dental Hygiene; Dental Floss",3,Ireland,0.1538042150232875,15.380421502328751,0.0868390296779677,8.683902967796769
3306,"Preparations, Oral Dental Hygiene; Dental Floss",4,Canada,0.08558475753076625,8.558475753076625,0.0040519238950836,0.40519238950836
3306,"Preparations, Oral Dental Hygiene; Dental Floss",5,Germany,0.03636743505113839,3.636743505113839,0.0550247888034406,5.50247888034406
3306,"Preparations, Oral Dental Hygiene; Dental Floss",6,India,0.0352658417007884,3.52658417007884,0.1491159357132467,14.91159357132467
3306,"Preparations, Oral Dental Hygiene; Dental Floss",7,Italy,0.02282545540805839,2.282545540805839,0.0964838681061872,9.64838681061872
3306,"Preparations, Oral Dental Hygiene; Dental Floss",8,Dominican Republic,0.016175350653469877,1.6175350653469878,0.0719087029798785,7.19087029798785
3306,"Preparations, Oral Dental Hygiene; Dental Floss",9,Brazil,0.015960316453914984,1.5960316453914984,0.128090419623292,12.809041962329202
